Entity,Code,Year,"Yield"
Africa,,1961,0.40312570333480835
Africa,,1962,0.3395524322986603
Africa,,1963,0.3663293123245239
Africa,,1964,0.41557207703590393
Africa,,1965,0.37271443009376526
Africa,,1966,0.3987582325935364
Africa,,1967,0.35255467891693115
Africa,,1968,0.3962087035179138
Africa,,1969,0.4124235212802887
Africa,,1970,0.4237290024757385
Africa,,1971,0.4023762047290802
Africa,,1972,0.4149257242679596
Africa,,1973,0.4256381094455719
Africa,,1974,0.3879813849925995
Africa,,1975,0.4169137477874756
Africa,,1976,0.38244566321372986
Africa,,1977,0.3940357267856598
Africa,,1978,0.33839067816734314
Africa,,1979,0.3489338457584381
Africa,,1980,0.36164239048957825
Africa,,1981,0.39560994505882263
Africa,,1982,0.3619028925895691
Africa,,1983,0.3437100052833557
Africa,,1984,0.3291051387786865
Africa,,1985,0.37422576546669006
Africa,,1986,0.4064507484436035
Africa,,1987,0.40205270051956177
Africa,,1988,0.3885136544704437
Africa,,1989,0.4111500084400177
Africa,,1990,0.38662445545196533
Africa,,1991,0.40246254205703735
Africa,,1992,0.42746859788894653
Africa,,1993,0.36992189288139343
Africa,,1994,0.4407365024089813
Africa,,1995,0.41319483518600464
Africa,,1996,0.4638349413871765
Africa,,1997,0.44553059339523315
Africa,,1998,0.4366873800754547
Africa,,1999,0.48536431789398193
Africa,,2000,0.4971906542778015
Africa,,2001,0.4967125654220581
Africa,,2002,0.5423145890235901
Africa,,2003,0.43171244859695435
Africa,,2004,0.42674949765205383
Africa,,2005,0.43439891934394836
Africa,,2006,0.43969959020614624
Africa,,2007,0.4118519425392151
Africa,,2008,0.4418525695800781
Africa,,2009,0.4246322810649872
Africa,,2010,0.46212175488471985
Africa,,2011,0.5478552579879761
Africa,,2012,0.4096190631389618
Africa,,2013,0.43477389216423035
Africa,,2014,0.42000019550323486
Africa,,2015,0.3866158723831177
Africa,,2016,0.4053765833377838
Africa,,2017,0.485791951417923
Africa,,2018,0.46779322624206543
Africa,,2019,0.4175941050052643
Africa,,2020,0.4224364161491394
Africa (FAO),,1961,0.40309998393058777
Africa (FAO),,1962,0.33959999680519104
Africa (FAO),,1963,0.36629998683929443
Africa (FAO),,1964,0.4156000018119812
Africa (FAO),,1965,0.3726999759674072
Africa (FAO),,1966,0.39879998564720154
Africa (FAO),,1967,0.35259997844696045
Africa (FAO),,1968,0.3962000012397766
Africa (FAO),,1969,0.4123999774456024
Africa (FAO),,1970,0.4236999750137329
Africa (FAO),,1971,0.4023999869823456
Africa (FAO),,1972,0.4148999750614166
Africa (FAO),,1973,0.42559999227523804
Africa (FAO),,1974,0.3879999816417694
Africa (FAO),,1975,0.41689997911453247
Africa (FAO),,1976,0.3823999762535095
Africa (FAO),,1977,0.39399999380111694
Africa (FAO),,1978,0.3384000062942505
Africa (FAO),,1979,0.3488999903202057
Africa (FAO),,1980,0.36159998178482056
Africa (FAO),,1981,0.39559999108314514
Africa (FAO),,1982,0.3619000017642975
Africa (FAO),,1983,0.34369999170303345
Africa (FAO),,1984,0.32909998297691345
Africa (FAO),,1985,0.3741999864578247
Africa (FAO),,1986,0.406499981880188
Africa (FAO),,1987,0.40209999680519104
Africa (FAO),,1988,0.38850000500679016
Africa (FAO),,1989,0.41119998693466187
Africa (FAO),,1990,0.38659998774528503
Africa (FAO),,1991,0.4025000035762787
Africa (FAO),,1992,0.4274999797344208
Africa (FAO),,1993,0.3698999881744385
Africa (FAO),,1994,0.4406999945640564
Africa (FAO),,1995,0.4131999909877777
Africa (FAO),,1996,0.46379998326301575
Africa (FAO),,1997,0.445499986410141
Africa (FAO),,1998,0.4366999864578247
Africa (FAO),,1999,0.48539999127388
Africa (FAO),,2000,0.49719998240470886
Africa (FAO),,2001,0.4966999888420105
Africa (FAO),,2002,0.5422999858856201
Africa (FAO),,2003,0.4316999912261963
Africa (FAO),,2004,0.42669999599456787
Africa (FAO),,2005,0.4343999922275543
Africa (FAO),,2006,0.4396999776363373
Africa (FAO),,2007,0.41189998388290405
Africa (FAO),,2008,0.44189998507499695
Africa (FAO),,2009,0.4245999753475189
Africa (FAO),,2010,0.46209999918937683
Africa (FAO),,2011,0.5478999614715576
Africa (FAO),,2012,0.40959998965263367
Africa (FAO),,2013,0.43479999899864197
Africa (FAO),,2014,0.41999998688697815
Africa (FAO),,2015,0.38659998774528503
Africa (FAO),,2016,0.40539997816085815
Africa (FAO),,2017,0.48579999804496765
Africa (FAO),,2018,0.46779999136924744
Africa (FAO),,2019,0.41759997606277466
Africa (FAO),,2020,0.42239999771118164
Americas (FAO),,1961,0.4786999821662903
Americas (FAO),,1962,0.47519999742507935
Americas (FAO),,1963,0.40529999136924744
Americas (FAO),,1964,0.3562999963760376
Americas (FAO),,1965,0.5654000043869019
Americas (FAO),,1966,0.42579999566078186
Americas (FAO),,1967,0.5044000148773193
Americas (FAO),,1968,0.44020000100135803
Americas (FAO),,1969,0.49219998717308044
Americas (FAO),,1970,0.4179999828338623
Americas (FAO),,1971,0.5620999932289124
Americas (FAO),,1972,0.5575000047683716
Americas (FAO),,1973,0.48009997606277466
Americas (FAO),,1974,0.6093999743461609
Americas (FAO),,1975,0.5464000105857849
Americas (FAO),,1976,0.45559999346733093
Americas (FAO),,1977,0.5228999853134155
Americas (FAO),,1978,0.5644999742507935
Americas (FAO),,1979,0.5672999620437622
Americas (FAO),,1980,0.5042999982833862
Americas (FAO),,1981,0.6665999889373779
Americas (FAO),,1982,0.5507000088691711
Americas (FAO),,1983,0.6410999894142151
Americas (FAO),,1984,0.5943999886512756
Americas (FAO),,1985,0.640999972820282
Americas (FAO),,1986,0.5192999839782715
Americas (FAO),,1987,0.6638999581336975
Americas (FAO),,1988,0.5447999835014343
Americas (FAO),,1989,0.5464000105857849
Americas (FAO),,1990,0.5988999605178833
Americas (FAO),,1991,0.6144999861717224
Americas (FAO),,1992,0.6326999664306641
Americas (FAO),,1993,0.5942999720573425
Americas (FAO),,1994,0.5964999794960022
Americas (FAO),,1995,0.5996999740600586
Americas (FAO),,1996,0.6711999773979187
Americas (FAO),,1997,0.6402999758720398
Americas (FAO),,1998,0.7084999680519104
Americas (FAO),,1999,0.6705999970436096
